Grid	Lat/Lon hddd°mm.mmm'
Datum	WGS 84

Header	Name	Description	Type	Position	Altitude	Depth	Proximity	Temperature	Display Mode	Color	Symbol	Facility	City	State	Country	Date Modified	Link	Categories
Waypoint	WPT146		User Waypoint	N56 07.355 E13 43.729	39 m				Symbol & Name	Unknown	Waypoint					07/03/2006 17:13:27 		
Waypoint	WPT147		User Waypoint	N56 07.373 E13 43.685	40 m				Symbol & Name	Unknown	Waypoint					07/03/2006 17:14:09 		
Waypoint	WPT148		User Waypoint	N56 07.390 E13 43.646	41 m				Symbol & Name	Unknown	Waypoint					07/03/2006 17:14:48 		
Waypoint	WPT149		User Waypoint	N56 07.396 E13 43.632	41 m				Symbol & Name	Unknown	Waypoint					07/03/2006 17:15:08 		
Waypoint	WPT150		User Waypoint	N56 07.407 E13 43.612	41 m				Symbol & Name	Unknown	Waypoint					07/03/2006 17:15:32 		
Waypoint	WPT151		User Waypoint	N56 07.418 E13 43.583	40 m				Symbol & Name	Unknown	Waypoint					07/03/2006 17:15:59 		
Waypoint	WPT152		User Waypoint	N56 07.434 E13 43.552	40 m				Symbol & Name	Unknown	Waypoint					07/03/2006 17:16:30 		
Waypoint	WPT153		User Waypoint	N56 07.453 E13 43.515	39 m				Symbol & Name	Unknown	Waypoint					07/03/2006 17:17:09 		
Waypoint	WPT154		User Waypoint	N56 07.468 E13 43.485	40 m				Symbol & Name	Unknown	Waypoint					07/03/2006 17:17:41 		
Waypoint	WPT155		User Waypoint	N56 07.484 E13 43.447	39 m				Symbol & Name	Unknown	Waypoint					07/03/2006 17:18:17 		
Waypoint	WPT156		User Waypoint	N56 07.490 E13 43.425	38 m				Symbol & Name	Unknown	Waypoint					07/03/2006 17:18:45 		
Waypoint	WPT157		User Waypoint	N56 07.497 E13 43.407	38 m				Symbol & Name	Unknown	Waypoint					07/03/2006 17:19:21 		
Waypoint	WPT158		User Waypoint	N56 07.512 E13 43.371	38 m				Symbol & Name	Unknown	Waypoint					07/03/2006 17:19:54 		
Waypoint	WPT159		User Waypoint	N56 07.520 E13 43.354	38 m				Symbol & Name	Unknown	Waypoint					07/03/2006 17:20:12 		
Waypoint	WPT160		User Waypoint	N56 07.524 E13 43.339	38 m				Symbol & Name	Unknown	Waypoint					07/03/2006 17:20:29 		
Waypoint	WPT161		User Waypoint	N56 07.528 E13 43.350	39 m				Symbol & Name	Unknown	Waypoint					07/03/2006 17:20:39 		
Waypoint	WPT162		User Waypoint	N56 07.547 E13 43.359	40 m				Symbol & Name	Unknown	Waypoint					07/03/2006 17:21:06 		
Waypoint	WPT163		User Waypoint	N56 07.549 E13 43.360	40 m				Symbol & Name	Unknown	Waypoint					07/03/2006 17:21:11 		
Waypoint	WPT164		User Waypoint	N56 07.553 E13 43.359	40 m				Symbol & Name	Unknown	Waypoint					07/03/2006 17:21:16 		
Waypoint	WPT165		User Waypoint	N56 07.551 E13 43.342	41 m				Symbol & Name	Unknown	Waypoint					07/03/2006 17:21:32 		
Waypoint	WPT166		User Waypoint	N56 07.552 E13 43.328	41 m				Symbol & Name	Unknown	Waypoint					07/03/2006 17:21:56 		
